=== MATH333 Final Project Output ===
Generated: 2025-11-26 03:29:32
Output file: Nperiods1000_results/output_20251126_032932.txt

c = 0.0000, d = 0.0000, E(c,d) = 4.0553e-03
c = 0.030, d = 0.200, E(c,d) = 1.9574e-02
c = 0.040, d = 0.000, E(c,d) = 5.7687e-03
c = 0.040, d = 0.010, E(c,d) = 4.5954e-03
c = 0.040, d = 0.020, E(c,d) = 3.6221e-03
c = 0.040, d = 0.030, E(c,d) = 2.8488e-03
c = 0.040, d = 0.040, E(c,d) = 2.2755e-03
c = 0.040, d = 0.050, E(c,d) = 1.9022e-03
c = 0.040, d = 0.060, E(c,d) = 1.7288e-03
c = 0.040, d = 0.070, E(c,d) = 1.7555e-03
c = 0.040, d = 0.080, E(c,d) = 1.9822e-03
c = 0.040, d = 0.090, E(c,d) = 2.4089e-03
c = 0.040, d = 0.100, E(c,d) = 3.0356e-03
c = 0.040, d = 0.110, E(c,d) = 3.8623e-03
c = 0.040, d = 0.120, E(c,d) = 4.8890e-03
c = 0.040, d = 0.130, E(c,d) = 6.1157e-03
c = 0.040, d = 0.140, E(c,d) = 7.5423e-03
c = 0.040, d = 0.150, E(c,d) = 9.1690e-03
c = 0.040, d = 0.160, E(c,d) = 1.0996e-02
c = 0.040, d = 0.170, E(c,d) = 1.3022e-02
c = 0.040, d = 0.180, E(c,d) = 1.5249e-02
c = 0.040, d = 0.190, E(c,d) = 1.7676e-02
c = 0.040, d = 0.200, E(c,d) = 2.0302e-02
c = 0.050, d = 0.000, E(c,d) = 6.6971e-03
c = 0.050, d = 0.010, E(c,d) = 5.5238e-03
c = 0.050, d = 0.020, E(c,d) = 4.5504e-03
c = 0.050, d = 0.030, E(c,d) = 3.7771e-03
c = 0.050, d = 0.040, E(c,d) = 3.2038e-03
c = 0.050, d = 0.050, E(c,d) = 2.8305e-03
c = 0.050, d = 0.060, E(c,d) = 2.6572e-03
c = 0.050, d = 0.070, E(c,d) = 2.6839e-03
c = 0.050, d = 0.080, E(c,d) = 2.9106e-03
c = 0.050, d = 0.090, E(c,d) = 3.3373e-03
c = 0.050, d = 0.100, E(c,d) = 3.9639e-03
c = 0.050, d = 0.110, E(c,d) = 4.7906e-03
c = 0.050, d = 0.120, E(c,d) = 5.8173e-03
c = 0.050, d = 0.130, E(c,d) = 7.0440e-03
c = 0.050, d = 0.140, E(c,d) = 8.4707e-03
c = 0.050, d = 0.150, E(c,d) = 1.0097e-02
c = 0.050, d = 0.160, E(c,d) = 1.1924e-02
c = 0.050, d = 0.170, E(c,d) = 1.3951e-02
c = 0.050, d = 0.180, E(c,d) = 1.6177e-02
c = 0.050, d = 0.190, E(c,d) = 1.8604e-02
c = 0.050, d = 0.200, E(c,d) = 2.1231e-02
c = 0.060, d = 0.000, E(c,d) = 7.8254e-03
c = 0.060, d = 0.010, E(c,d) = 6.6521e-03
c = 0.060, d = 0.020, E(c,d) = 5.6788e-03
c = 0.060, d = 0.030, E(c,d) = 4.9055e-03
c = 0.060, d = 0.040, E(c,d) = 4.3322e-03
c = 0.060, d = 0.050, E(c,d) = 3.9588e-03
c = 0.060, d = 0.060, E(c,d) = 3.7855e-03
c = 0.060, d = 0.070, E(c,d) = 3.8122e-03
c = 0.060, d = 0.080, E(c,d) = 4.0389e-03
c = 0.060, d = 0.090, E(c,d) = 4.4656e-03
c = 0.060, d = 0.100, E(c,d) = 5.0923e-03
c = 0.060, d = 0.110, E(c,d) = 5.9190e-03
c = 0.060, d = 0.120, E(c,d) = 6.9457e-03
c = 0.060, d = 0.130, E(c,d) = 8.1723e-03
c = 0.060, d = 0.140, E(c,d) = 9.5990e-03
c = 0.060, d = 0.150, E(c,d) = 1.1226e-02
c = 0.060, d = 0.160, E(c,d) = 1.3052e-02
c = 0.060, d = 0.170, E(c,d) = 1.5079e-02
c = 0.060, d = 0.180, E(c,d) = 1.7306e-02
c = 0.060, d = 0.190, E(c,d) = 1.9732e-02
c = 0.060, d = 0.200, E(c,d) = 2.2359e-02
c = 0.070, d = 0.000, E(c,d) = 9.1538e-03
c = 0.070, d = 0.010, E(c,d) = 7.9804e-03
c = 0.070, d = 0.020, E(c,d) = 7.0071e-03
c = 0.070, d = 0.030, E(c,d) = 6.2338e-03
c = 0.070, d = 0.040, E(c,d) = 5.6605e-03
c = 0.070, d = 0.050, E(c,d) = 5.2872e-03
c = 0.070, d = 0.060, E(c,d) = 5.1139e-03
c = 0.070, d = 0.070, E(c,d) = 5.1406e-03
c = 0.070, d = 0.080, E(c,d) = 5.3673e-03
c = 0.070, d = 0.090, E(c,d) = 5.7939e-03
c = 0.070, d = 0.100, E(c,d) = 6.4206e-03
c = 0.070, d = 0.110, E(c,d) = 7.2473e-03
c = 0.070, d = 0.120, E(c,d) = 8.2740e-03
c = 0.070, d = 0.130, E(c,d) = 9.5007e-03
c = 0.070, d = 0.140, E(c,d) = 1.0927e-02
c = 0.070, d = 0.150, E(c,d) = 1.2554e-02
c = 0.070, d = 0.160, E(c,d) = 1.4381e-02
c = 0.070, d = 0.170, E(c,d) = 1.6407e-02
c = 0.070, d = 0.180, E(c,d) = 1.8634e-02
c = 0.070, d = 0.190, E(c,d) = 2.1061e-02
c = 0.070, d = 0.200, E(c,d) = 2.3688e-02
c = 0.080, d = 0.000, E(c,d) = 1.0682e-02
c = 0.080, d = 0.010, E(c,d) = 9.5088e-03
c = 0.080, d = 0.020, E(c,d) = 8.5355e-03
c = 0.080, d = 0.030, E(c,d) = 7.7622e-03
c = 0.080, d = 0.040, E(c,d) = 7.1889e-03
c = 0.080, d = 0.050, E(c,d) = 6.8155e-03
c = 0.080, d = 0.060, E(c,d) = 6.6422e-03
c = 0.080, d = 0.070, E(c,d) = 6.6689e-03
c = 0.080, d = 0.080, E(c,d) = 6.8956e-03
c = 0.080, d = 0.090, E(c,d) = 7.3223e-03
c = 0.080, d = 0.100, E(c,d) = 7.9490e-03
c = 0.080, d = 0.110, E(c,d) = 8.7757e-03
c = 0.080, d = 0.120, E(c,d) = 9.8024e-03
c = 0.080, d = 0.130, E(c,d) = 1.1029e-02
c = 0.080, d = 0.140, E(c,d) = 1.2456e-02
c = 0.080, d = 0.150, E(c,d) = 1.4082e-02
c = 0.080, d = 0.160, E(c,d) = 1.5909e-02
c = 0.080, d = 0.170, E(c,d) = 1.7936e-02
c = 0.080, d = 0.180, E(c,d) = 2.0162e-02
c = 0.080, d = 0.190, E(c,d) = 2.2589e-02
c = 0.080, d = 0.200, E(c,d) = 2.5216e-02
c = 0.090, d = 0.000, E(c,d) = 1.2410e-02
c = 0.090, d = 0.010, E(c,d) = 1.1237e-02
c = 0.090, d = 0.020, E(c,d) = 1.0264e-02
c = 0.090, d = 0.030, E(c,d) = 9.4905e-03
c = 0.090, d = 0.040, E(c,d) = 8.9172e-03
c = 0.090, d = 0.050, E(c,d) = 8.5439e-03
c = 0.090, d = 0.060, E(c,d) = 8.3706e-03
c = 0.090, d = 0.070, E(c,d) = 8.3973e-03
c = 0.090, d = 0.080, E(c,d) = 8.6240e-03
c = 0.090, d = 0.090, E(c,d) = 9.0506e-03
c = 0.090, d = 0.100, E(c,d) = 9.6773e-03
c = 0.090, d = 0.110, E(c,d) = 1.0504e-02
c = 0.090, d = 0.120, E(c,d) = 1.1531e-02
c = 0.090, d = 0.130, E(c,d) = 1.2757e-02
c = 0.090, d = 0.140, E(c,d) = 1.4184e-02
c = 0.090, d = 0.150, E(c,d) = 1.5811e-02
c = 0.090, d = 0.160, E(c,d) = 1.7637e-02
c = 0.090, d = 0.170, E(c,d) = 1.9664e-02
c = 0.090, d = 0.180, E(c,d) = 2.1891e-02
c = 0.090, d = 0.190, E(c,d) = 2.4318e-02
c = 0.090, d = 0.200, E(c,d) = 2.6944e-02
c = 0.100, d = 0.000, E(c,d) = 1.4339e-02
c = 0.100, d = 0.010, E(c,d) = 1.3165e-02
c = 0.100, d = 0.020, E(c,d) = 1.2192e-02
c = 0.100, d = 0.030, E(c,d) = 1.1419e-02
c = 0.100, d = 0.040, E(c,d) = 1.0846e-02
c = 0.100, d = 0.050, E(c,d) = 1.0472e-02
c = 0.100, d = 0.060, E(c,d) = 1.0299e-02
c = 0.100, d = 0.070, E(c,d) = 1.0326e-02
c = 0.100, d = 0.080, E(c,d) = 1.0552e-02
c = 0.100, d = 0.090, E(c,d) = 1.0979e-02
c = 0.100, d = 0.100, E(c,d) = 1.1606e-02
c = 0.100, d = 0.110, E(c,d) = 1.2432e-02
c = 0.100, d = 0.120, E(c,d) = 1.3459e-02
c = 0.100, d = 0.130, E(c,d) = 1.4686e-02
c = 0.100, d = 0.140, E(c,d) = 1.6112e-02
c = 0.100, d = 0.150, E(c,d) = 1.7739e-02
c = 0.100, d = 0.160, E(c,d) = 1.9566e-02
c = 0.100, d = 0.170, E(c,d) = 2.1592e-02
c = 0.100, d = 0.180, E(c,d) = 2.3819e-02
c = 0.100, d = 0.190, E(c,d) = 2.6246e-02
c = 0.100, d = 0.200, E(c,d) = 2.8873e-02

Best near small: (c, d) = (-0.0000, 0.0600), E = 1.5446e-05

=== Local grid search around (c0=0.3, d0=0.3), label = medium ===
c = 0.200, d = 0.200, E(c,d) = 5.9156e-02
c = 0.200, d = 0.210, E(c,d) = 6.1983e-02
c = 0.200, d = 0.220, E(c,d) = 6.5009e-02
c = 0.200, d = 0.230, E(c,d) = 6.8236e-02
c = 0.200, d = 0.240, E(c,d) = 7.1663e-02
c = 0.200, d = 0.250, E(c,d) = 7.5289e-02
c = 0.200, d = 0.260, E(c,d) = 7.9116e-02
c = 0.200, d = 0.270, E(c,d) = 8.3143e-02
c = 0.200, d = 0.280, E(c,d) = 8.7370e-02
c = 0.200, d = 0.290, E(c,d) = 9.1796e-02
c = 0.200, d = 0.300, E(c,d) = 9.6423e-02
c = 0.200, d = 0.310, E(c,d) = 1.0125e-01
c = 0.200, d = 0.320, E(c,d) = 1.0628e-01
c = 0.200, d = 0.330, E(c,d) = 1.1150e-01
c = 0.200, d = 0.340, E(c,d) = 1.1693e-01
c = 0.200, d = 0.350, E(c,d) = 1.2256e-01
c = 0.200, d = 0.360, E(c,d) = 1.2838e-01
c = 0.200, d = 0.370, E(c,d) = 1.3441e-01
c = 0.200, d = 0.380, E(c,d) = 1.4064e-01
c = 0.200, d = 0.390, E(c,d) = 1.4706e-01
c = 0.200, d = 0.400, E(c,d) = 1.5369e-01
c = 0.210, d = 0.200, E(c,d) = 6.3284e-02
c = 0.210, d = 0.210, E(c,d) = 6.6111e-02
c = 0.210, d = 0.220, E(c,d) = 6.9138e-02
c = 0.210, d = 0.230, E(c,d) = 7.2364e-02
c = 0.210, d = 0.240, E(c,d) = 7.5791e-02
c = 0.210, d = 0.250, E(c,d) = 7.9418e-02
c = 0.210, d = 0.260, E(c,d) = 8.3245e-02
c = 0.210, d = 0.270, E(c,d) = 8.7271e-02
c = 0.210, d = 0.280, E(c,d) = 9.1498e-02
c = 0.210, d = 0.290, E(c,d) = 9.5925e-02
c = 0.210, d = 0.300, E(c,d) = 1.0055e-01
c = 0.210, d = 0.310, E(c,d) = 1.0538e-01
c = 0.210, d = 0.320, E(c,d) = 1.1040e-01
c = 0.210, d = 0.330, E(c,d) = 1.1563e-01
c = 0.210, d = 0.340, E(c,d) = 1.2106e-01
c = 0.210, d = 0.350, E(c,d) = 1.2668e-01
c = 0.210, d = 0.360, E(c,d) = 1.3251e-01
c = 0.210, d = 0.370, E(c,d) = 1.3854e-01
c = 0.210, d = 0.380, E(c,d) = 1.4476e-01
c = 0.210, d = 0.390, E(c,d) = 1.5119e-01
c = 0.210, d = 0.400, E(c,d) = 1.5782e-01
c = 0.220, d = 0.200, E(c,d) = 6.7613e-02
c = 0.220, d = 0.210, E(c,d) = 7.0439e-02
c = 0.220, d = 0.220, E(c,d) = 7.3466e-02
c = 0.220, d = 0.230, E(c,d) = 7.6693e-02
c = 0.220, d = 0.240, E(c,d) = 8.0119e-02
c = 0.220, d = 0.250, E(c,d) = 8.3746e-02
c = 0.220, d = 0.260, E(c,d) = 8.7573e-02
c = 0.220, d = 0.270, E(c,d) = 9.1600e-02
c = 0.220, d = 0.280, E(c,d) = 9.5826e-02
c = 0.220, d = 0.290, E(c,d) = 1.0025e-01
c = 0.220, d = 0.300, E(c,d) = 1.0488e-01
c = 0.220, d = 0.310, E(c,d) = 1.0971e-01
c = 0.220, d = 0.320, E(c,d) = 1.1473e-01
c = 0.220, d = 0.330, E(c,d) = 1.1996e-01
c = 0.220, d = 0.340, E(c,d) = 1.2539e-01
c = 0.220, d = 0.350, E(c,d) = 1.3101e-01
c = 0.220, d = 0.360, E(c,d) = 1.3684e-01
c = 0.220, d = 0.370, E(c,d) = 1.4287e-01
c = 0.220, d = 0.380, E(c,d) = 1.4909e-01
c = 0.220, d = 0.390, E(c,d) = 1.5552e-01
c = 0.220, d = 0.400, E(c,d) = 1.6215e-01
c = 0.230, d = 0.200, E(c,d) = 7.2141e-02
c = 0.230, d = 0.210, E(c,d) = 7.4968e-02
c = 0.230, d = 0.220, E(c,d) = 7.7994e-02
c = 0.230, d = 0.230, E(c,d) = 8.1221e-02
c = 0.230, d = 0.240, E(c,d) = 8.4648e-02
c = 0.230, d = 0.250, E(c,d) = 8.8275e-02
c = 0.230, d = 0.260, E(c,d) = 9.2101e-02
c = 0.230, d = 0.270, E(c,d) = 9.6128e-02
c = 0.230, d = 0.280, E(c,d) = 1.0035e-01
c = 0.230, d = 0.290, E(c,d) = 1.0478e-01
c = 0.230, d = 0.300, E(c,d) = 1.0941e-01
c = 0.230, d = 0.310, E(c,d) = 1.1423e-01
c = 0.230, d = 0.320, E(c,d) = 1.1926e-01
c = 0.230, d = 0.330, E(c,d) = 1.2449e-01
c = 0.230, d = 0.340, E(c,d) = 1.2991e-01
c = 0.230, d = 0.350, E(c,d) = 1.3554e-01
c = 0.230, d = 0.360, E(c,d) = 1.4137e-01
c = 0.230, d = 0.370, E(c,d) = 1.4739e-01
c = 0.230, d = 0.380, E(c,d) = 1.5362e-01
c = 0.230, d = 0.390, E(c,d) = 1.6005e-01
c = 0.230, d = 0.400, E(c,d) = 1.6667e-01
c = 0.240, d = 0.200, E(c,d) = 7.6869e-02
c = 0.240, d = 0.210, E(c,d) = 7.9696e-02
c = 0.240, d = 0.220, E(c,d) = 8.2723e-02
c = 0.240, d = 0.230, E(c,d) = 8.5949e-02
c = 0.240, d = 0.240, E(c,d) = 8.9376e-02
c = 0.240, d = 0.250, E(c,d) = 9.3003e-02
c = 0.240, d = 0.260, E(c,d) = 9.6830e-02
c = 0.240, d = 0.270, E(c,d) = 1.0086e-01
c = 0.240, d = 0.280, E(c,d) = 1.0508e-01
c = 0.240, d = 0.290, E(c,d) = 1.0951e-01
c = 0.240, d = 0.300, E(c,d) = 1.1414e-01
c = 0.240, d = 0.310, E(c,d) = 1.1896e-01
c = 0.240, d = 0.320, E(c,d) = 1.2399e-01
c = 0.240, d = 0.330, E(c,d) = 1.2922e-01
c = 0.240, d = 0.340, E(c,d) = 1.3464e-01
c = 0.240, d = 0.350, E(c,d) = 1.4027e-01
c = 0.240, d = 0.360, E(c,d) = 1.4610e-01
c = 0.240, d = 0.370, E(c,d) = 1.5212e-01
c = 0.240, d = 0.380, E(c,d) = 1.5835e-01
c = 0.240, d = 0.390, E(c,d) = 1.6478e-01
c = 0.240, d = 0.400, E(c,d) = 1.7140e-01
c = 0.250, d = 0.200, E(c,d) = 8.1798e-02
c = 0.250, d = 0.210, E(c,d) = 8.4624e-02
c = 0.250, d = 0.220, E(c,d) = 8.7651e-02
c = 0.250, d = 0.230, E(c,d) = 9.0878e-02
c = 0.250, d = 0.240, E(c,d) = 9.4305e-02
c = 0.250, d = 0.250, E(c,d) = 9.7931e-02
c = 0.250, d = 0.260, E(c,d) = 1.0176e-01
c = 0.250, d = 0.270, E(c,d) = 1.0578e-01
c = 0.250, d = 0.280, E(c,d) = 1.1001e-01
c = 0.250, d = 0.290, E(c,d) = 1.1444e-01
c = 0.250, d = 0.300, E(c,d) = 1.1906e-01
c = 0.250, d = 0.310, E(c,d) = 1.2389e-01
c = 0.250, d = 0.320, E(c,d) = 1.2892e-01
c = 0.250, d = 0.330, E(c,d) = 1.3414e-01
c = 0.250, d = 0.340, E(c,d) = 1.3957e-01
c = 0.250, d = 0.350, E(c,d) = 1.4520e-01
c = 0.250, d = 0.360, E(c,d) = 1.5102e-01
c = 0.250, d = 0.370, E(c,d) = 1.5705e-01
c = 0.250, d = 0.380, E(c,d) = 1.6328e-01
c = 0.250, d = 0.390, E(c,d) = 1.6970e-01
c = 0.250, d = 0.400, E(c,d) = 1.7633e-01
c = 0.260, d = 0.200, E(c,d) = 8.6926e-02
c = 0.260, d = 0.210, E(c,d) = 8.9753e-02
c = 0.260, d = 0.220, E(c,d) = 9.2780e-02
c = 0.260, d = 0.230, E(c,d) = 9.6006e-02
c = 0.260, d = 0.240, E(c,d) = 9.9433e-02
c = 0.260, d = 0.250, E(c,d) = 1.0306e-01
c = 0.260, d = 0.260, E(c,d) = 1.0689e-01
c = 0.260, d = 0.270, E(c,d) = 1.1091e-01
c = 0.260, d = 0.280, E(c,d) = 1.1514e-01
c = 0.260, d = 0.290, E(c,d) = 1.1957e-01
c = 0.260, d = 0.300, E(c,d) = 1.2419e-01
c = 0.260, d = 0.310, E(c,d) = 1.2902e-01
c = 0.260, d = 0.320, E(c,d) = 1.3405e-01
c = 0.260, d = 0.330, E(c,d) = 1.3927e-01
c = 0.260, d = 0.340, E(c,d) = 1.4470e-01
c = 0.260, d = 0.350, E(c,d) = 1.5033e-01
c = 0.260, d = 0.360, E(c,d) = 1.5615e-01
c = 0.260, d = 0.370, E(c,d) = 1.6218e-01
c = 0.260, d = 0.380, E(c,d) = 1.6841e-01
c = 0.260, d = 0.390, E(c,d) = 1.7483e-01
c = 0.260, d = 0.400, E(c,d) = 1.8146e-01
c = 0.270, d = 0.200, E(c,d) = 9.2254e-02
c = 0.270, d = 0.210, E(c,d) = 9.5081e-02
c = 0.270, d = 0.220, E(c,d) = 9.8108e-02
c = 0.270, d = 0.230, E(c,d) = 1.0133e-01
c = 0.270, d = 0.240, E(c,d) = 1.0476e-01
c = 0.270, d = 0.250, E(c,d) = 1.0839e-01
c = 0.270, d = 0.260, E(c,d) = 1.1221e-01
c = 0.270, d = 0.270, E(c,d) = 1.1624e-01
c = 0.270, d = 0.280, E(c,d) = 1.2047e-01
c = 0.270, d = 0.290, E(c,d) = 1.2489e-01
c = 0.270, d = 0.300, E(c,d) = 1.2952e-01
c = 0.270, d = 0.310, E(c,d) = 1.3435e-01
c = 0.270, d = 0.320, E(c,d) = 1.3937e-01
c = 0.270, d = 0.330, E(c,d) = 1.4460e-01
c = 0.270, d = 0.340, E(c,d) = 1.5003e-01
c = 0.270, d = 0.350, E(c,d) = 1.5565e-01
c = 0.270, d = 0.360, E(c,d) = 1.6148e-01
c = 0.270, d = 0.370, E(c,d) = 1.6751e-01
c = 0.270, d = 0.380, E(c,d) = 1.7373e-01
c = 0.270, d = 0.390, E(c,d) = 1.8016e-01
c = 0.270, d = 0.400, E(c,d) = 1.8679e-01
c = 0.280, d = 0.200, E(c,d) = 9.7783e-02
c = 0.280, d = 0.210, E(c,d) = 1.0061e-01
c = 0.280, d = 0.220, E(c,d) = 1.0364e-01
c = 0.280, d = 0.230, E(c,d) = 1.0686e-01
c = 0.280, d = 0.240, E(c,d) = 1.1029e-01
c = 0.280, d = 0.250, E(c,d) = 1.1392e-01
c = 0.280, d = 0.260, E(c,d) = 1.1774e-01
c = 0.280, d = 0.270, E(c,d) = 1.2177e-01
c = 0.280, d = 0.280, E(c,d) = 1.2600e-01
c = 0.280, d = 0.290, E(c,d) = 1.3042e-01
c = 0.280, d = 0.300, E(c,d) = 1.3505e-01
c = 0.280, d = 0.310, E(c,d) = 1.3988e-01
c = 0.280, d = 0.320, E(c,d) = 1.4490e-01
c = 0.280, d = 0.330, E(c,d) = 1.5013e-01
c = 0.280, d = 0.340, E(c,d) = 1.5556e-01
c = 0.280, d = 0.350, E(c,d) = 1.6118e-01
c = 0.280, d = 0.360, E(c,d) = 1.6701e-01
c = 0.280, d = 0.370, E(c,d) = 1.7304e-01
c = 0.280, d = 0.380, E(c,d) = 1.7926e-01
c = 0.280, d = 0.390, E(c,d) = 1.8569e-01
c = 0.280, d = 0.400, E(c,d) = 1.9232e-01
c = 0.290, d = 0.200, E(c,d) = 1.0351e-01
c = 0.290, d = 0.210, E(c,d) = 1.0634e-01
c = 0.290, d = 0.220, E(c,d) = 1.0936e-01
c = 0.290, d = 0.230, E(c,d) = 1.1259e-01
c = 0.290, d = 0.240, E(c,d) = 1.1602e-01
c = 0.290, d = 0.250, E(c,d) = 1.1964e-01
c = 0.290, d = 0.260, E(c,d) = 1.2347e-01
c = 0.290, d = 0.270, E(c,d) = 1.2750e-01
c = 0.290, d = 0.280, E(c,d) = 1.3172e-01
c = 0.290, d = 0.290, E(c,d) = 1.3615e-01
c = 0.290, d = 0.300, E(c,d) = 1.4078e-01
c = 0.290, d = 0.310, E(c,d) = 1.4560e-01
c = 0.290, d = 0.320, E(c,d) = 1.5063e-01
c = 0.290, d = 0.330, E(c,d) = 1.5586e-01
c = 0.290, d = 0.340, E(c,d) = 1.6128e-01
c = 0.290, d = 0.350, E(c,d) = 1.6691e-01
c = 0.290, d = 0.360, E(c,d) = 1.7274e-01
c = 0.290, d = 0.370, E(c,d) = 1.7876e-01
c = 0.290, d = 0.380, E(c,d) = 1.8499e-01
c = 0.290, d = 0.390, E(c,d) = 1.9142e-01
c = 0.290, d = 0.400, E(c,d) = 1.9804e-01
c = 0.300, d = 0.200, E(c,d) = 1.0944e-01
c = 0.300, d = 0.210, E(c,d) = 1.1227e-01
c = 0.300, d = 0.220, E(c,d) = 1.1529e-01
c = 0.300, d = 0.230, E(c,d) = 1.1852e-01
c = 0.300, d = 0.240, E(c,d) = 1.2195e-01
c = 0.300, d = 0.250, E(c,d) = 1.2557e-01
c = 0.300, d = 0.260, E(c,d) = 1.2940e-01
c = 0.300, d = 0.270, E(c,d) = 1.3343e-01
c = 0.300, d = 0.280, E(c,d) = 1.3765e-01
c = 0.300, d = 0.290, E(c,d) = 1.4208e-01
c = 0.300, d = 0.300, E(c,d) = 1.4671e-01
c = 0.300, d = 0.310, E(c,d) = 1.5153e-01
c = 0.300, d = 0.320, E(c,d) = 1.5656e-01
c = 0.300, d = 0.330, E(c,d) = 1.6179e-01
c = 0.300, d = 0.340, E(c,d) = 1.6721e-01
c = 0.300, d = 0.350, E(c,d) = 1.7284e-01
c = 0.300, d = 0.360, E(c,d) = 1.7867e-01
c = 0.300, d = 0.370, E(c,d) = 1.8469e-01
c = 0.300, d = 0.380, E(c,d) = 1.9092e-01
c = 0.300, d = 0.390, E(c,d) = 1.9735e-01
c = 0.300, d = 0.400, E(c,d) = 2.0397e-01
c = 0.310, d = 0.200, E(c,d) = 1.1557e-01
c = 0.310, d = 0.210, E(c,d) = 1.1839e-01
c = 0.310, d = 0.220, E(c,d) = 1.2142e-01
c = 0.310, d = 0.230, E(c,d) = 1.2465e-01
c = 0.310, d = 0.240, E(c,d) = 1.2807e-01
c = 0.310, d = 0.250, E(c,d) = 1.3170e-01
c = 0.310, d = 0.260, E(c,d) = 1.3553e-01
c = 0.310, d = 0.270, E(c,d) = 1.3955e-01
c = 0.310, d = 0.280, E(c,d) = 1.4378e-01
c = 0.310, d = 0.290, E(c,d) = 1.4821e-01
c = 0.310, d = 0.300, E(c,d) = 1.5283e-01
c = 0.310, d = 0.310, E(c,d) = 1.5766e-01
c = 0.310, d = 0.320, E(c,d) = 1.6269e-01
c = 0.310, d = 0.330, E(c,d) = 1.6791e-01
c = 0.310, d = 0.340, E(c,d) = 1.7334e-01
c = 0.310, d = 0.350, E(c,d) = 1.7897e-01
c = 0.310, d = 0.360, E(c,d) = 1.8479e-01
c = 0.310, d = 0.370, E(c,d) = 1.9082e-01
c = 0.310, d = 0.380, E(c,d) = 1.9705e-01
c = 0.310, d = 0.390, E(c,d) = 2.0347e-01
c = 0.310, d = 0.400, E(c,d) = 2.1010e-01
c = 0.320, d = 0.200, E(c,d) = 1.2190e-01
c = 0.320, d = 0.210, E(c,d) = 1.2472e-01
c = 0.320, d = 0.220, E(c,d) = 1.2775e-01
c = 0.320, d = 0.230, E(c,d) = 1.3098e-01
c = 0.320, d = 0.240, E(c,d) = 1.3440e-01
c = 0.320, d = 0.250, E(c,d) = 1.3803e-01
c = 0.320, d = 0.260, E(c,d) = 1.4186e-01
c = 0.320, d = 0.270, E(c,d) = 1.4588e-01
c = 0.320, d = 0.280, E(c,d) = 1.5011e-01
c = 0.320, d = 0.290, E(c,d) = 1.5454e-01
c = 0.320, d = 0.300, E(c,d) = 1.5916e-01
c = 0.320, d = 0.310, E(c,d) = 1.6399e-01
c = 0.320, d = 0.320, E(c,d) = 1.6902e-01
c = 0.320, d = 0.330, E(c,d) = 1.7424e-01
c = 0.320, d = 0.340, E(c,d) = 1.7967e-01
c = 0.320, d = 0.350, E(c,d) = 1.8530e-01
c = 0.320, d = 0.360, E(c,d) = 1.9112e-01
c = 0.320, d = 0.370, E(c,d) = 1.9715e-01
c = 0.320, d = 0.380, E(c,d) = 2.0338e-01
c = 0.320, d = 0.390, E(c,d) = 2.0980e-01
c = 0.320, d = 0.400, E(c,d) = 2.1643e-01
c = 0.330, d = 0.200, E(c,d) = 1.2842e-01
c = 0.330, d = 0.210, E(c,d) = 1.3125e-01
c = 0.330, d = 0.220, E(c,d) = 1.3428e-01
c = 0.330, d = 0.230, E(c,d) = 1.3750e-01
c = 0.330, d = 0.240, E(c,d) = 1.4093e-01
c = 0.330, d = 0.250, E(c,d) = 1.4456e-01
c = 0.330, d = 0.260, E(c,d) = 1.4838e-01
c = 0.330, d = 0.270, E(c,d) = 1.5241e-01
c = 0.330, d = 0.280, E(c,d) = 1.5664e-01
c = 0.330, d = 0.290, E(c,d) = 1.6106e-01
c = 0.330, d = 0.300, E(c,d) = 1.6569e-01
c = 0.330, d = 0.310, E(c,d) = 1.7052e-01
c = 0.330, d = 0.320, E(c,d) = 1.7554e-01
c = 0.330, d = 0.330, E(c,d) = 1.8077e-01
c = 0.330, d = 0.340, E(c,d) = 1.8620e-01
c = 0.330, d = 0.350, E(c,d) = 1.9182e-01
c = 0.330, d = 0.360, E(c,d) = 1.9765e-01
c = 0.330, d = 0.370, E(c,d) = 2.0368e-01
c = 0.330, d = 0.380, E(c,d) = 2.0990e-01
c = 0.330, d = 0.390, E(c,d) = 2.1633e-01
c = 0.330, d = 0.400, E(c,d) = 2.2296e-01
c = 0.340, d = 0.200, E(c,d) = 1.3515e-01
c = 0.340, d = 0.210, E(c,d) = 1.3798e-01
c = 0.340, d = 0.220, E(c,d) = 1.4101e-01
c = 0.340, d = 0.230, E(c,d) = 1.4423e-01
c = 0.340, d = 0.240, E(c,d) = 1.4766e-01
c = 0.340, d = 0.250, E(c,d) = 1.5129e-01
c = 0.340, d = 0.260, E(c,d) = 1.5511e-01
c = 0.340, d = 0.270, E(c,d) = 1.5914e-01
c = 0.340, d = 0.280, E(c,d) = 1.6337e-01
c = 0.340, d = 0.290, E(c,d) = 1.6779e-01
c = 0.340, d = 0.300, E(c,d) = 1.7242e-01
c = 0.340, d = 0.310, E(c,d) = 1.7725e-01
c = 0.340, d = 0.320, E(c,d) = 1.8227e-01
c = 0.340, d = 0.330, E(c,d) = 1.8750e-01
c = 0.340, d = 0.340, E(c,d) = 1.9293e-01
c = 0.340, d = 0.350, E(c,d) = 1.9855e-01
c = 0.340, d = 0.360, E(c,d) = 2.0438e-01
c = 0.340, d = 0.370, E(c,d) = 2.1041e-01
c = 0.340, d = 0.380, E(c,d) = 2.1663e-01
